Latitude,Longitude,Unique_Squirrel_ID,Shift,Date,Age,Primary_Fur_Color,Location,Specific_Location,Running,Chasing,Climbing,Eating,Foraging,Other_Activities,Kuks,Quaas,Moans,Tail_flags,Tail_twitches,Approaches,Indifferent,Runs_from
-73,40,5A-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,True,nan,False,False,False,True,False,False,False,True
-73,40,32H-PM-1006-01,PM,10062018,nan,Gray,Above Ground,in the European Beech,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,42C-AM-1007-02,AM,10072018,nan,nan,nan,nan,False,False,False,False,False,nan,False,True,False,False,False,False,False,False
-73,40,41D-AM-1014-01,AM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
-73,40,21G-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,nan,False,False,False,True,False,nan,False,False,False,True,False,False,True,False
-73,40,14E-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,nan,True,False,False,False,True,walking,False,False,False,False,False,False,False,True
-73,40,7H-PM-1006-04,PM,10062018,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
-73,40,22F-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,nan,False,False,True,False,True,nan,False,False,False,False,False,False,True,False
-73,40,7F-AM-1008-16,AM,10082018,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,nan,False,False,False,False,False,False,False,True
-73,40,10F-PM-1019-05,PM,10192018,Adult,Black,Above Ground,"Behind fence, tree",False,False,True,False,False,nan,False,False,False,False,False,False,True,False
-73,40,10A-AM-1006-04,AM,10062018,Juvenile,Gray,Above Ground,tree near large rock on Bridle Path,False,False,False,False,False,walking on branch,False,False,False,False,True,False,False,False
-73,40,38F-PM-1013-05,PM,10132018,Juvenile,Gray,Ground Plane,nan,False,False,False,False,True,"being chased,was pushed by other squirrel",True,True,False,False,False,False,False,False
-73,40,41B-PM-1014-01,PM,10142018,Adult,Gray,Above Ground,Climbing tree,False,False,True,False,False,climbing (tree),False,False,False,False,False,False,False,True
-73,40,36A-PM-1013-07,PM,10132018,nan,Gray,Ground Plane,"""FIELD""",False,True,False,False,False,chasing #8,False,False,False,False,False,False,False,True
-73,40,5C-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,32E-PM-1017-03,PM,10172018,Adult,Gray,Above Ground,bottom of tree,False,False,False,True,False,still,False,False,False,False,False,False,True,False
-73,40,31A-PM-1017-04,PM,10172018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,False,False,False
-73,40,42G-AM-1018-03,AM,10182018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,stop to look at me—then ran,False,False,False,False,False,False,False,True
-73,40,37D-PM-1014-04,PM,10142018,Adult,Gray,Ground Plane,nan,False,True,False,False,True,chasing (a chipmunk),False,False,False,False,False,False,False,True
-73,40,24B-AM-1013-01,AM,10132018,nan,Gray,Above Ground,nan,True,False,False,True,False,took nut to bury,False,False,False,False,True,False,False,True
-73,40,7G-AM-1010-02,AM,10102018,Adult,Gray,Above Ground,nan,True,False,False,False,False,nan,False,False,False,False,True,False,False,True
-73,40,5C-PM-1010-13,PM,10102018,Adult,Gray,Above Ground,way up a tree!,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,15I-AM-1008-01,AM,10082018,Adult,Gray,Above Ground,tree,False,False,True,True,False,nan,False,False,False,False,False,False,True,False
-73,40,19B-PM-1018-01,PM,10182018,Adult,Gray,Above Ground,nan,True,False,False,False,False,flying,False,False,False,False,False,False,False,False
-73,40,13D-PM-1018-10,PM,10182018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,36I-PM-1007-10,PM,10072018,Juvenile,Gray,Ground Plane,nan,False,False,False,True,False,stole (found?) an entire sandwich,False,False,False,False,False,False,True,False
-73,40,41B-AM-1010-06,AM,10102018,Adult,Gray,Above Ground,nan,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,35B-AM-1010-01,AM,10102018,Adult,Gray,Ground Plane,lawn,False,False,False,False,False,walking w/ something in mouth,False,False,False,False,False,False,True,False
-73,40,40D-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,nan,True,False,False,False,False,nan,False,False,False,False,False,False,False,False
-73,40,38B-PM-1018-02,PM,10182018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,burying nut,False,False,False,False,False,False,False,False
-73,40,40I-AM-1018-01,AM,10182018,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,True,begging,False,False,False,False,False,False,False,False
-73,40,7B-AM-1008-10,AM,10082018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,True,False
-73,40,13D-AM-1014-08,AM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,False,False,False,True
-73,40,16G-AM-1010-03,AM,10102018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,was hanging out w/ #2 until i showed up,True,False,False,False,False,False,False,True
-73,40,40A-AM-1010-03,AM,10102018,Adult,Gray,Ground Plane,bottom of great hill,False,False,False,True,True,nan,False,False,False,True,False,False,True,True
-73,40,15I-PM-1012-07,PM,10122018,Adult,Cinnamon,Ground Plane,nan,True,False,False,False,True,nan,False,False,False,False,False,False,False,False
-73,40,3B-PM-1007-11,PM,10072018,Adult,Gray,Above Ground,in tree,False,False,True,False,False,nan,False,False,False,False,False,False,False,False
-73,40,21D-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,nan,False,False,False,False,True,nan,False,False,False,False,True,False,True,False
-73,40,10B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,True,False,False,False
-73,40,13E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,nan,False,False,False,True,True,nan,False,False,False,False,False,False,True,False
